year,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,coach_experience,player_average_height,player_average_weight,player_total_GP,player_total_GS,player_total_points,player_total_oRebounds,player_total_dRebounds,player_total_rebounds,player_total_assists,player_total_steals,player_total_blocks,player_total_turnovers,player_total_PF,player_total_fgAttempted,player_total_fgMade,player_total_ftAttempted,player_total_ftMade,player_total_threeAttempted,player_total_threeMade,player_total_dq,player_total_PostGP,player_total_PostGS,player_total_PostMinutes,player_total_PostPoints,player_total_PostoRebounds,player_total_PostdRebounds,player_total_PostRebounds,player_total_PostAssists,player_total_PostSteals,player_total_PostBlocks,player_total_PostTurnovers,player_total_PostPF,player_total_PostfgAttempted,player_total_PostfgMade,player_total_PostftAttempted,player_total_PostftMade,player_total_PostthreeAttempted,player_total_PostthreeMade,player_total_PostDQ,player_total_awards,winrate,home_winrate,away_winrate,conf_winrate,o_fg_pct,o_ft_pct,o_3p_pct,o_oreb_pct,o_dreb_pct,d_fg_pct,d_ft_pct,d_3p_pct,d_oreb_pct,d_dreb_pct,pts_diff
7,CON,CON,EA,1.0,Y,W,L,,26.0,8.0,34.0,14.0,3.0,12.0,5.0,15.0,5.0,6825.0,1104.0,181.64285714285717,78.78571428571429,347.0,170.0,2683.0,342.0,926.0,1268.0,630.0,252.0,153.0,486.0,530.0,2216.0,982.0,675.0,545.0,510.0,174.0,1.0,48.0,25.0,1000.0,335.0,61.0,123.0,184.0,72.0,28.0,28.0,68.0,84.0,340.0,121.0,96.0,67.0,91.0,26.0,0.0,1.0,0.7647058823529411,0.8235294117647058,0.7058823529411765,0.75,0.4431407942238267,0.8074074074074075,0.3411764705882353,0.2697160883280757,0.7302839116719243,0.402206194314807,0.716,0.3208661417322834,0.3209019947961838,0.6790980052038161,266.0
8,CON,CON,EA,3.0,Y,L,,,18.0,16.0,34.0,8.0,9.0,10.0,7.0,10.0,10.0,6925.0,1713.0,182.30769230769232,78.15384615384616,344.0,170.0,2675.0,354.0,868.0,1222.0,619.0,272.0,156.0,522.0,641.0,2327.0,1001.0,615.0,478.0,572.0,195.0,4.0,29.0,15.0,701.0,240.0,26.0,92.0,118.0,58.0,19.0,15.0,48.0,57.0,231.0,94.0,42.0,32.0,69.0,20.0,0.0,0.0,0.5294117647058824,0.4705882352941176,0.5882352941176471,0.5,0.4301675977653631,0.7772357723577236,0.3409090909090909,0.2896890343698854,0.7103109656301145,0.421234354769098,0.7587859424920128,0.3422680412371134,0.2858354537743851,0.714164546225615,82.0
9,CON,CON,EA,2.0,Y,L,,,21.0,13.0,34.0,13.0,4.0,8.0,9.0,13.0,7.0,6850.0,2181.0,180.07692307692307,75.84615384615384,330.0,169.0,2606.0,322.0,818.0,1140.0,594.0,201.0,96.0,434.0,589.0,2214.0,935.0,682.0,515.0,667.0,221.0,3.0,28.0,15.0,572.0,194.0,32.0,64.0,96.0,40.0,21.0,4.0,36.0,45.0,199.0,71.0,50.0,40.0,55.0,12.0,0.0,0.0,0.6176470588235294,0.7647058823529411,0.4705882352941176,0.65,0.4221347331583552,0.7455048409405256,0.3303437967115097,0.2986279257465698,0.7013720742534302,0.4181260945709282,0.7398119122257053,0.3205645161290322,0.3,0.7,149.0
10,CON,CON,EA,6.0,N,,,,16.0,18.0,34.0,12.0,5.0,4.0,13.0,10.0,12.0,6975.0,2792.0,181.42857142857144,76.28571428571429,338.0,170.0,2651.0,358.0,826.0,1184.0,608.0,250.0,130.0,440.0,677.0,2381.0,966.0,692.0,517.0,639.0,202.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4705882352941176,0.7058823529411765,0.2352941176470588,0.4545454545454545,0.4057118857622847,0.7471098265895953,0.3161189358372457,0.3023648648648648,0.6976351351351351,0.4262075134168157,0.792225201072386,0.3217213114754098,0.2582417582417582,0.7417582417582418,-3.0
1,DET,DET,EA,5.0,N,,,,14.0,18.0,32.0,8.0,8.0,6.0,10.0,10.0,11.0,6425.0,0.0,180.92307692307693,73.3076923076923,327.0,160.0,2331.0,341.0,644.0,985.0,503.0,260.0,88.0,519.0,701.0,1980.0,868.0,699.0,519.0,273.0,76.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.5,0.375,0.4761904761904761,0.4383838383838384,0.7424892703862661,0.2783882783882784,0.3461928934010152,0.6538071065989848,0.4600915099135739,0.7361963190184049,0.3655913978494624,0.3408856848609681,0.659114315139032,-95.0
2,DET,DET,EA,7.0,N,,,,10.0,22.0,32.0,6.0,10.0,4.0,12.0,7.0,14.0,6550.0,0.0,181.91666666666663,74.16666666666667,317.0,160.0,2103.0,324.0,621.0,945.0,469.0,225.0,82.0,490.0,602.0,1914.0,774.0,542.0,412.0,405.0,143.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3125,0.375,0.25,0.3333333333333333,0.4043887147335423,0.7601476014760148,0.3530864197530864,0.3428571428571428,0.6571428571428571,0.4616222101252041,0.7650085763293311,0.3735294117647059,0.2844036697247706,0.7155963302752294,-166.0
3,DET,DET,EA,8.0,N,,,,9.0,23.0,32.0,7.0,9.0,2.0,14.0,6.0,15.0,6450.0,29.0625,181.8,74.46666666666667,328.0,160.0,2114.0,360.0,719.0,1079.0,478.0,201.0,132.0,530.0,609.0,1919.0,766.0,651.0,472.0,364.0,110.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28125,0.4375,0.125,0.2857142857142857,0.399166232412715,0.7250384024577573,0.3021978021978022,0.3336422613531047,0.6663577386468953,0.4173387096774194,0.7669421487603306,0.3266219239373601,0.3194303153611393,0.6805696846388606,-152.0
4,DET,DET,EA,1.0,Y,W,W,W,25.0,9.0,34.0,13.0,4.0,12.0,5.0,18.0,6.0,6900.0,160.0,183.0,74.53846153846153,344.0,170.0,2553.0,379.0,851.0,1230.0,545.0,263.0,158.0,596.0,605.0,2004.0,902.0,882.0,624.0,323.0,125.0,3.0,73.0,40.0,1600.0,572.0,87.0,195.0,282.0,139.0,53.0,38.0,105.0,141.0,516.0,202.0,160.0,127.0,103.0,41.0,0.0,2.0,0.7352941176470589,0.7647058823529411,0.7058823529411765,0.75,0.4500998003992016,0.7074829931972789,0.3869969040247678,0.308130081300813,0.691869918699187,0.3985126859142607,0.7410071942446043,0.2975970425138632,0.3665413533834586,0.6334586466165414,158.0
5,DET,DET,EA,3.0,Y,L,,,17.0,17.0,34.0,8.0,9.0,9.0,8.0,11.0,9.0,6850.0,526.0,183.2,75.13333333333334,325.0,170.0,2366.0,397.0,773.0,1170.0,564.0,277.0,148.0,506.0,648.0,2097.0,874.0,792.0,556.0,209.0,62.0,6.0,28.0,15.0,600.0,202.0,30.0,66.0,96.0,45.0,27.0,13.0,38.0,44.0,167.0,71.0,78.0,55.0,15.0,5.0,0.0,0.0,0.5,0.4705882352941176,0.5294117647058824,0.55,0.4167858845970434,0.702020202020202,0.2966507177033493,0.3393162393162393,0.6606837606837607,0.4099142040038132,0.7717569786535303,0.3583489681050656,0.3080568720379147,0.6919431279620853,-15.0
6,DET,DET,EA,4.0,Y,L,,,16.0,18.0,34.0,12.0,5.0,4.0,13.0,11.0,9.0,6925.0,826.0,182.06666666666663,75.0,344.0,170.0,2247.0,412.0,803.0,1215.0,474.0,241.0,155.0,564.0,761.0,2060.0,831.0,774.0,509.0,238.0,76.0,11.0,18.0,10.0,400.0,129.0,27.0,42.0,69.0,24.0,13.0,8.0,25.0,49.0,135.0,48.0,36.0,27.0,18.0,6.0,2.0,0.0,0.4705882352941176,0.7058823529411765,0.2352941176470588,0.55,0.4033980582524272,0.6576227390180879,0.3193277310924369,0.3390946502057613,0.6609053497942387,0.4030848329048843,0.7493368700265252,0.337719298245614,0.2681728880157171,0.731827111984283,-40.0
